Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
01/01/2009,EP2,EUR,01/01/09,7,1,2836.6,42.36,42.36,0,42.44,0,250.84,379,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,7,2,2857.93,41.02,41.02,0,42.13,0,249.87,401,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,8,1,2878.29,41.02,41.02,0,41.04,0,245.3,417.5,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,8,2,2858.35,41.02,41.02,0,41.25,0,244.55,424.5,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,9,1,2784.01,40.66,40.66,0,42.31,0,249.6,416,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,9,2,2783.51,40.66,40.66,0,44.25,0,247.18,425.5,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,10,1,2909.06,40.66,40.66,0,42.44,0,256.19,402,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,10,2,3074.81,41.42,41.42,0,46.88,0,259.58,411,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,11,1,3288.61,46.88,46.88,0,48.55,0,267.28,395.5,0,0,0,0,0,0,0,0,0,0,,
01/01/2009,EP2,EUR,01/01/09,11,2,3490.99,48.92,48.92,0,51.33,0,267.91,380,0,0,0,0,0,0,0,0,0,0,,
