Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
01/01/2010,EP2,EUR,01/01/10,7,1,3190.43,31.04,31.04,2930.27,33.19,33.19,27.84,59.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,46.185483871,29.7414285714
01/01/2010,EP2,EUR,01/01/10,7,2,3019.54,31.04,31.04,2951.27,33.19,33.19,24.16,40.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,47.355483871,30.3814285714
01/01/2010,EP2,EUR,01/01/10,8,1,3031.08,30.93,30.93,2941.4,30.96,30.96,22.06,35,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,50.68,30.6228571429
01/01/2010,EP2,EUR,01/01/10,8,2,3096.8,30.93,30.93,2946.69,30.96,30.96,18.74,34.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,55.0722580645,30.6942857143
01/01/2010,EP2,EUR,01/01/10,9,1,3037.48,30.93,30.93,2902.58,30.96,30.96,15.68,34.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,58.8716129032,34.2742857143
01/01/2010,EP2,EUR,01/01/10,9,2,3015.82,29.35,29.35,2879.53,30.96,30.96,14.24,32,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,56.9609677419,34.3471428571
01/01/2010,EP2,EUR,01/01/10,10,1,3155.29,31.04,31.04,2933.72,36.64,30.96,15.57,31.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,60.3429032258,39.3342857143
01/01/2010,EP2,EUR,01/01/10,10,2,3343.83,31.04,31.04,3121.17,36.71,31.04,14.66,34.5,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,65.4616129032,40.43
01/01/2010,EP2,EUR,01/01/10,11,1,3579.61,31.04,31.04,3340.77,36.71,31.04,13.89,43,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,64.5019354839,43.7828571429
01/01/2010,EP2,EUR,01/01/10,11,2,3872.75,31.04,31.04,3578.62,36.64,30.96,13.69,41,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,64.804516129,45.5985714286
01/01/2010,EP2,EUR,01/01/10,12,1,4072.7,31.04,31.04,3788.26,36.71,31.04,13.06,40,0,96.17,6075,16739.57,10630.2,12489.21,13381.21,13839.21,13839.21,67.4038709677,46.0428571429
